data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
2024-09-02,segunda-feira,15:30:00,ES,262,17,VIANA,Velocidade Incompatível,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,1,0,0,0,1,0,0,1,-20.38635961,-40.47272969,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-09-02,segunda-feira,18:55:00,ES,101,260,SERRA,Ausência de reação do condutor,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,0,1,1,2,-20.14616415,-40.28836206,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-09-03,terça-feira,05:20:00,ES,101,"65,9",SAO MATEUS,Condutor desrespeitou a iluminação vermelha do semáforo,Atropelamento de Pedestre,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Múltipla,Interseção de Vias,Sim,2,0,0,1,0,1,1,2,-18.70935945,-39.87762087,SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2024-09-03,terça-feira,14:40:00,ES,101,162,LINHARES,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,1,0,0,1,1,-19.49015283,-40.12624024,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-09-04,quarta-feira,09:04:00,ES,259,"8,3",JOAO NEIVA,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva;Declive,Não,1,0,0,0,0,1,0,1,-19.6796185,-40.3961093,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-12,segunda-feira,10:52:00,ES,101,"199,8",JOAO NEIVA,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,1,0,0,1,0,0,1,1,-19.72573895,-40.35645808,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-09-04,quarta-feira,17:00:00,ES,101,402,ITAPEMIRIM,Demais falhas mecânicas ou elétricas,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Simples,Curva,Não,1,0,1,0,0,0,1,1,-20.88914562,-40.99003988,SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2024-09-04,quarta-feira,20:15:00,ES,101,356,ANCHIETA,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1,0,0,0,1,0,0,1,-20.69339794,-40.68748402,SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2024-09-05,quinta-feira,05:10:00,ES,262,"133,4",BREJETUBA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Interseção de Vias,Não,2,0,0,0,2,0,0,2,-20.24395403,-41.31727776,SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2024-09-05,quinta-feira,07:06:00,ES,101,"142,9",LINHARES,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Declive,Sim,2,0,1,0,0,1,1,2,-19.34286596,-40.0638568,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-09-05,quinta-feira,18:00:00,ES,101,266,SERRA,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Não,1,0,1,0,0,0,1,1,-20.190199,-40.26828891,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-09-05,quinta-feira,18:57:00,ES,101,"107,4",SOORETAMA,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta;Declive,Não,1,0,1,0,0,0,1,1,-19.03760793,-40.02283215,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-09-06,sexta-feira,07:15:00,ES,101,290,CARIACICA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,2,0,0,1,0,1,1,2,-20.28927747,-40.39181575,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-09-06,sexta-feira,07:30:00,ES,101,"298,5",VIANA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,1,1,0,1,2,-20.35374444,-40.4156433,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-09-06,sexta-feira,08:30:00,ES,101,211,IBIRACU,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Sim,8,0,7,0,1,0,7,2,-19.80700903,-40.36767233,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-30,sexta-feira,07:40:00,ES,101,"66,3",SAO MATEUS,Manobra de mudança de faixa,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Retorno Regulamentado,Sim,4,0,1,1,2,0,2,2,-18.7165195,-39.87436378,SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2024-09-06,sexta-feira,12:45:00,ES,101,"143,9",LINHARES,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta;Declive,Sim,2,0,0,1,1,0,1,2,-19.34286596,-40.0638568,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
